municipio,Ano,focos
AURORA DO PARÁ,2008,227
AURORA DO PARÁ,2009,267
AURORA DO PARÁ,2010,203
AURORA DO PARÁ,2011,159
AURORA DO PARÁ,2012,174
AURORA DO PARÁ,2013,164
AURORA DO PARÁ,2014,153
AURORA DO PARÁ,2015,148
AURORA DO PARÁ,2016,89
AURORA DO PARÁ,2017,123
AURORA DO PARÁ,2018,49
AURORA DO PARÁ,2019,73
AURORA DO PARÁ,2020,116
AURORA DO PARÁ,2021,100
AURORA DO PARÁ,2022,108
AURORA DO PARÁ,2023,128
AURORA DO PARÁ,2024,173
AVEIRO,2008,287
AVEIRO,2009,683
AVEIRO,2010,245
AVEIRO,2011,346
AVEIRO,2012,386
AVEIRO,2013,305
AVEIRO,2014,405
AVEIRO,2015,570
AVEIRO,2016,277
AVEIRO,2017,523
AVEIRO,2018,341
AVEIRO,2019,323
AVEIRO,2020,523
AVEIRO,2021,249
AVEIRO,2022,457
AVEIRO,2023,765
AVEIRO,2024,559
BAGRE,2008,84
BAGRE,2009,131
BAGRE,2010,26
BAGRE,2011,17
BAGRE,2012,76
BAGRE,2013,74
BAGRE,2014,53
BAGRE,2015,91
BAGRE,2016,112
BAGRE,2017,138
BAGRE,2018,42
BAGRE,2019,75
BAGRE,2020,99
BAGRE,2021,24
BAGRE,2022,75
BAGRE,2023,166
BAGRE,2024,177
BAIÃO,2008,270
BAIÃO,2009,295
BAIÃO,2010,194
BAIÃO,2011,143
BAIÃO,2012,200
BAIÃO,2013,187
BAIÃO,2014,206
BAIÃO,2015,221
BAIÃO,2016,149
BAIÃO,2017,206
BAIÃO,2018,174
BAIÃO,2019,135
BAIÃO,2020,135
BAIÃO,2021,101
BAIÃO,2022,177
BAIÃO,2023,332
BAIÃO,2024,256
BANNACH,2008,275
BANNACH,2009,105
BANNACH,2010,506
BANNACH,2011,69
BANNACH,2012,104
BANNACH,2013,109
BANNACH,2014,220
BANNACH,2015,164
BANNACH,2016,96
BANNACH,2017,251
BANNACH,2018,49
BANNACH,2019,39
BANNACH,2020,176
BANNACH,2021,30
BANNACH,2022,151
BANNACH,2023,24
BANNACH,2024,189
BARCARENA,2008,93
BARCARENA,2009,91
BARCARENA,2010,74
BARCARENA,2011,74
BARCARENA,2012,91
BARCARENA,2013,67
BARCARENA,2014,61
BARCARENA,2015,75
BARCARENA,2016,83
BARCARENA,2017,89
BARCARENA,2018,36
BARCARENA,2019,24
BARCARENA,2020,47
BARCARENA,2021,15
BARCARENA,2022,36
BARCARENA,2023,59
BARCARENA,2024,42
BELTERRA,2008,115
BELTERRA,2009,156
BELTERRA,2010,78
BELTERRA,2011,74
BELTERRA,2012,92
BELTERRA,2013,99
BELTERRA,2014,154
BELTERRA,2015,136
BELTERRA,2016,81
BELTERRA,2017,136
BELTERRA,2018,73
BELTERRA,2019,68
BELTERRA,2020,83
BELTERRA,2021,54
BELTERRA,2022,82
BELTERRA,2023,165
BELTERRA,2024,58
BELÉM,2008,7
BELÉM,2009,13
BELÉM,2010,5
BELÉM,2011,4
BELÉM,2012,8
BELÉM,2014,4
BELÉM,2015,9
BELÉM,2016,2
BELÉM,2017,2
BELÉM,2018,5
BELÉM,2019,3
BELÉM,2020,2
BELÉM,2022,3
BELÉM,2023,6
BELÉM,2024,9
BENEVIDES,2008,6
BENEVIDES,2009,4
BENEVIDES,2010,5
BENEVIDES,2011,1
BENEVIDES,2012,1
BENEVIDES,2013,4
BENEVIDES,2014,1
BENEVIDES,2015,1
BENEVIDES,2016,9
BENEVIDES,2017,4
BENEVIDES,2019,1
BENEVIDES,2020,1
BENEVIDES,2022,1
BENEVIDES,2023,1
BOM JESUS DO TOCANTINS,2008,138
BOM JESUS DO TOCANTINS,2009,77
BOM JESUS DO TOCANTINS,2010,93
BOM JESUS DO TOCANTINS,2011,113
BOM JESUS DO TOCANTINS,2012,88
BOM JESUS DO TOCANTINS,2013,64
BOM JESUS DO TOCANTINS,2014,109
BOM JESUS DO TOCANTINS,2015,76
BOM JESUS DO TOCANTINS,2016,58
BOM JESUS DO TOCANTINS,2017,64
BOM JESUS DO TOCANTINS,2018,51
BOM JESUS DO TOCANTINS,2019,48
BOM JESUS DO TOCANTINS,2020,109
BOM JESUS DO TOCANTINS,2021,46
BOM JESUS DO TOCANTINS,2022,90
BOM JESUS DO TOCANTINS,2023,62
BOM JESUS DO TOCANTINS,2024,95
BONITO,2008,67
BONITO,2009,67
BONITO,2010,76
BONITO,2011,60
BONITO,2012,71
BONITO,2013,54
BONITO,2014,37
BONITO,2015,29
BONITO,2016,33
BONITO,2017,41
BONITO,2018,17
BONITO,2019,24
BONITO,2020,22
BONITO,2021,12
BONITO,2022,37
BONITO,2023,54
BONITO,2024,39
